layer_code,layer_name,mapserver_id,landing_page,service_root,layer_url,geometry,key_fields,study_use
L03,Rehabilitation,3,https://data.nsw.gov.au/data/dataset/mine-rehabilitation,https://dreags.aamgeocloud.com/arcgis/rest/services/Mine_Rehabilitation/Mine_Rehabilitation/MapServer,https://dreags.aamgeocloud.com/arcgis/rest/services/Mine_Rehabilitation/Mine_Rehabilitation/MapServer/3,Polygon,MineN; MineID; ReportYr; YrLndEs; YrVegEs; ChartDt,Rehabilitation geometry/snapshot provenance; not annual causal treatment
L04,Disturbance,4,https://data.nsw.gov.au/data/dataset/mine-rehabilitation,https://dreags.aamgeocloud.com/arcgis/rest/services/Mine_Rehabilitation/Mine_Rehabilitation/MapServer,https://dreags.aamgeocloud.com/arcgis/rest/services/Mine_Rehabilitation/Mine_Rehabilitation/MapServer/4,Polygon,MineN; MineID; ReportYr; DistYr; ChartDt,Disturbance geometry/spatial support; not rehabilitation treatment
